date_S1,S1,date_S2,S2,date_S3,S3,date_S4,S4,date_S5,S5,date_S6,S6,date_S7,S7,date_I1,I1,date_I2,I2,date_I3,I3,date_I4,I4
2005-01-03,56.5,2005-01-03,94.25,2005-01-03,998.744,2005-01-03,482.7,2005-01-03,1.13,2010-06-28,1.133,2005-01-03,50.09,2005-01-03,238.103,2005-01-03,1202.08,2005-01-03,14.08,2017-08-02,207.15
2005-01-04,57.45,2005-01-04,91.5,2005-01-04,1015.997,2005-01-04,478.6,2005-01-04,1.142,2010-06-29,1.593,2005-01-04,49.75,2005-01-04,236.985,2005-01-04,1188.05,2005-01-04,13.98,2017-08-03,209.48
2005-01-05,56.5,2005-01-05,91.25,2005-01-05,1039.0,2005-01-05,484.6,2005-01-05,1.152,2010-06-30,1.589,2005-01-05,49.49,2005-01-05,233.944,2005-01-05,1183.74,2005-01-05,14.09,2017-08-04,204.59
2005-01-06,55.788,2005-01-06,92.25,2005-01-06,1054.336,2005-01-06,489.3,2005-01-06,1.153,2010-07-01,1.464,2005-01-06,50.12,2005-01-06,235.055,2005-01-06,1187.89,2005-01-06,13.58,2017-08-07,234.29
2005-01-07,56.5,2005-01-07,92.5,2005-01-07,1067.755,2005-01-07,486.5,2005-01-07,1.237,2010-07-02,1.28,2005-01-07,49.79,2005-01-07,236.871,2005-01-07,1186.19,2005-01-07,13.49,2017-08-08,250.77
2005-01-10,55.788,2005-01-10,94.25,2005-01-10,1077.34,2005-01-10,483.4,2005-01-10,1.231,2010-07-06,1.074,2005-01-10,49.98,2005-01-10,238.708,2005-01-10,1190.24,2005-01-10,13.23,2017-08-09,242.61
2005-01-11,55.788,2005-01-11,93.5,2005-01-11,1073.506,2005-01-11,482.2,2005-01-11,1.153,2010-07-07,1.053,2005-01-11,49.85,2005-01-11,237.379,2005-01-11,1182.99,2005-01-11,13.19,2017-08-10,242.52
2005-01-12,55.076,2005-01-12,93.0,2005-01-12,1069.672,2005-01-12,480.7,2005-01-12,1.169,2010-07-08,1.164,2005-01-12,50.59,2005-01-12,236.44,2005-01-12,1187.7,2005-01-12,12.56,2017-08-11,251.49
2005-01-13,55.788,2005-01-13,94.0,2005-01-13,1123.347,2005-01-13,476.0,2005-01-13,1.246,2010-07-09,1.16,2005-01-13,50.55,2005-01-13,238.304,2005-01-13,1177.45,2005-01-13,12.84,2017-08-14,258.59
2005-01-14,56.263,2005-01-14,95.5,2005-01-14,1154.019,2005-01-14,475.1,2005-01-14,1.254,2010-07-12,1.137,2005-01-14,51.07,2005-01-14,240.035,2005-01-14,1184.52,2005-01-14,12.43,2017-08-15,247.6
2005-01-17,56.263,2005-01-17,97.0,2005-01-17,1146.351,2005-01-18,481.7,2005-01-18,1.262,2010-07-13,1.209,2005-01-18,51.5,2005-01-17,242.45,2005-01-18,1195.98,2005-01-18,12.47,2017-08-16,259.29
2005-01-18,55.55,2005-01-18,98.0,2005-01-18,1188.525,2005-01-19,480.4,2005-01-19,1.248,2010-07-14,1.323,2005-01-19,51.05,2005-01-18,242.894,2005-01-19,1184.63,2005-01-19,13.18,2017-08-17,264.47
2005-01-19,55.55,2005-01-19,96.5,2005-01-19,1163.604,2005-01-20,477.7,2005-01-20,1.258,2010-07-15,1.326,2005-01-20,50.72,2005-01-19,242.463,2005-01-20,1175.41,2005-01-20,13.83,2017-08-18,267.56
2005-01-20,55.313,2005-01-20,95.0,2005-01-20,1088.842,2005-01-21,479.3,2005-01-21,1.259,2010-07-16,1.376,2005-01-21,50.44,2005-01-20,239.705,2005-01-21,1167.87,2005-01-21,14.36,2017-08-21,283.99
2005-01-21,55.076,2005-01-21,96.0,2005-01-21,1073.506,2005-01-24,483.6,2005-01-24,1.264,2010-07-19,1.461,2005-01-24,51.13,2005-01-21,241.492,2005-01-24,1163.75,2005-01-24,14.65,2017-08-22,300.52
2005-01-24,54.126,2005-01-24,97.0,2005-01-24,1060.087,2005-01-25,485.1,2005-01-25,1.287,2010-07-20,1.353,2005-01-25,51.33,2005-01-24,240.48,2005-01-25,1168.41,2005-01-25,14.06,2017-08-23,307.54
2005-01-25,55.076,2005-01-25,96.75,2005-01-25,1063.921,2005-01-26,484.8,2005-01-26,1.29,2010-07-21,1.348,2005-01-26,51.7,2005-01-25,243.183,2005-01-26,1174.07,2005-01-26,13.44,2017-08-24,298.83
2005-01-26,55.55,2005-01-26,97.0,2005-01-26,1058.17,2005-01-27,485.6,2005-01-27,1.297,2010-07-22,1.4,2005-01-27,51.75,2005-01-26,242.579,2005-01-27,1174.55,2005-01-27,13.24,2017-08-25,303.83
2005-01-27,55.313,2005-01-27,98.0,2005-01-27,1119.513,2005-01-28,483.8,2005-01-28,1.321,2010-07-23,1.419,2005-01-28,51.27,2005-01-27,242.885,2005-01-28,1171.36,2005-01-28,13.24,2017-08-28,313.99
2005-01-28,54.601,2005-01-28,96.75,2005-01-28,1155.936,2005-01-31,490.5,2005-01-31,1.373,2010-07-26,1.397,2005-01-31,51.6,2005-01-28,242.049,2005-01-31,1181.27,2005-01-31,12.82,2017-08-29,322.11
2005-01-31,55.313,2005-01-31,96.5,2005-01-31,1215.362,2005-02-01,494.8,2005-02-01,1.384,2010-07-27,1.37,2005-02-01,53.27,2005-01-31,242.473,2005-02-01,1189.41,2005-02-01,12.03,2017-08-30,329.62
